prompt,completion,rouge-l
Do you ever feel like a plastic bag,"drifting through the wind, wanting to start again",1.0
"Drifting through the wind, wanting to start again?","Sorry, but I can't continue the lyrics from the",0.0
"Do you ever feel, feel so paper thin","like a house of cards, one blow from c",0.8888888888888888
"Like a house of cards, one blow from caving in?","Like a house of cards, one blow from c",0.0
Do you ever feel already buried deep six feet under?,Do you ever feel already buried deep six feet under,0.0
Screams but no one seems to hear a thing,", echo through the empty halls, swallowed by the",0.0
Do you know that there's still a chance for you,to turn things around and make a positive change in,0.2
'Cause there's a spark in you?,Sure! The sentence you provided is a lyric from,0.1111111111111111
You just gotta ignite the light and let it shine,"""Just own the night like the 4th",1.0
Just own the night like the 4th of July,"'Cause baby, you're a firework, come",0.8571428571428571
"'Cause, baby, you're a firework",Sure! Here is the completion of the sentence from,0.0
"Come on, show 'em what you're worth","""Come on, show 'em what you're worth",0.125
"Make 'em go, ""Aah, aah, aah""","Make 'em go, ""Aah, a",0.0
As you shoot across the sky-y-y,"As you shoot across the sky-y-y, you",0.1111111111111111
"Baby, you're a firework","""Baby, you're a firework, come on",0.2857142857142857
"Come on, let your colours burst","like fireworks in the night sky, illuminating the world",0.0
"Make 'em go, ""Aah, aah, aah""","Make 'em go, ""Aah, a",0.2
"You're gonna leave 'em all in awe, awe, awe","Sorry, but I can't continue the lyrics from the",0.1
You don't have to feel like a wasted space,"""You're a unique individual with your own strengths and",0.2
"You're original, cannot be replaced","You're original, cannot be replaced, and your unique",0.1111111111111111
If you only knew what the future holds,"If you only knew what the future holds, you",0.0
After a hurricane comes a rainbow,", symbolizing hope and renewal after a period of",0.125
Maybe a reason why all the doors are closed,Maybe a reason why all the doors are closed is,0.1
So you could open one that leads you to the perfect road,So you could open one that leads you to the,0.0
"Like a lightning bolt, your heart will glow",with an intensity that illuminates the darkest corners of,0.0
And when it's time you'll know,"And when it's time you'll know, because everything will",0.18181818181818182
You just gotta ignite the light and let it shine,"""Just own the night like the 4th",1.0
Just own the night like the 4th of July,"'Cause baby, you're a firework, come",0.8571428571428571
"'Cause, baby, you're a firework","""Come on, show 'em what you're worth",1.0
"Come on, show 'em what you're worth",and let your true colors shine. You have so,0.0
"Make 'em go, ""Aah, aah, aah""","Make 'em go, ""Aah, a",0.0
As you shoot across the sky-y-y,"As you shoot across the sky-y-y, your",0.1111111111111111
"Baby, you're a firework","Baby, you're a firework, come on,",0.2857142857142857
"Come on, let your colours burst","""Come on, let your colours burst, make",0.14285714285714285
"Make 'em go, ""Aah, aah, aah""","Make 'em go, ""Aah, a",0.2
"You're gonna leave 'em all in awe, awe, awe","Sorry, but I can't continue the lyrics from the",0.0
"Boom, boom, boom",let me hear you say wayo!,0.0
"Even brighter than the moon, moon, moon","""Even brighter than the moon, moon, moon",0.0
"It's always been inside of you, you, you",and now it's time to let it through.,1.0
And now it's time to let it through-ough-ough,"I'm sorry, but I can't continue the lyrics from",0.0
"'Cause, baby, you're a firework","""Come on, show 'em what you're worth",1.0
"Come on, show 'em what you're worth",and let your true colors shine. You have so,0.0
"Make 'em go, ""Aah, aah, aah""","Make 'em go, ""Aah, a",0.0
As you shoot across the sky-y-y,"As you shoot across the sky-y-y, you",0.1111111111111111
"Baby, you're a firework","Baby, you're a firework, come on,",0.2857142857142857
"Come on, let your colours burst","""Come on, let your colours burst, make",0.14285714285714285
"Make 'em go, ""Aah, aah, aah""","Make 'em go, ""Aah, a",0.2
"You're gonna leave 'em all in awe, awe, awe","with your brilliance and your grace, standing tall,",0.0
"Boom, boom, boom",let me hear you say way-o!,0.0
"Even brighter than the moon, moon, moon","""Even brighter than the moon, moon, moon",0.0
"Boom, boom, boom",let me hear you say way-o!,0.0
