id,title,content
1,Article 1,"Sunday Morning Yes, there WAS good news coming out of 2020 sunday-morning By David Pogue December 27, 2020 / 9:33 AM EST / CBS News"
2,Article 2,Correspondent David Pogue reminds us of some of the often-overshadowed bright spots of the past year. 2020 will not be remembered as a 
3,Article 3,big year for good news. But science and technology actually scored a few triumphs – beginning with the piece of software that made it p
4,Article 4,"ossible for meetings, classes, relationships, and performances to carry on. I'm referring, of course, to Zoom video calls, like the one"
5,Article 5,"I had with my 92-year-old dad, Cleveland lawyer Dick Pogue. ""Hello, Dave!"" ""So, am I correct that you had never used Zoom until the loc"
6,Article 6,"kdown began?"" ""Absolutely not. I was amazed when I first saw it."" ""Apple, Google and Microsoft all had their own similar video programs"
7,Article 7,". Why do you think Zoom became the winner of the pandemic?"" David asked. ""I think it's the simplicity of getting into the meeting."""
8,Article 8,"david-pogue-and-dick-pogue-via-zoom-620.jpg Despite a pandemic, Zoom has enabled Dick Pogue (right) to keep tabs on his son, David."
9,Article 9,"CBS News All the Zoom meetings meant fewer people flying, and all the closed offices meant fewer people driving. It's not the kind of e"
10,Article 10,"conomy anybody wants, of course, but it did lead to some more good news: For the first time in a century, you could hear birdsong in th"
11,Article 11,e cities; you could see fish in the canals of Venice; and you could see blue skies in L.A.! los-angeles-air-smog-and-smog-free-620.jpg
12,Article 12,Los Angeles air quality improved dramatically with the economic slowdown and stay-at-home orders resulting from the coronavirus pandemi
13,Article 13,"c. CBS News At one point, global greenhouse gas emissions fell 17 percent, the biggest drop in human history. This was also the year th"
14,Article 14,at the plastic pollution problem finally got the world's attention. We've dumping the equivalent of a truck-load's worth of plastic int
15,Article 15,o the ocean every minute of every day. China joined more than 125 other countries that have banned or taxed single-use plastic or plast
16,Article 16,ic bags. But you don't have to be a government to make a difference. Ordinary citizen Sheila Morovati was fed up with the more than 40 
17,Article 17,"billion plastic utensils that restaurants include with take-out orders every year that nobody uses. Pogue asked, ""So, if I take it out "
18,Article 18,"of the takeout bag and throw it in the trash, that's not single-use plastic?"" ""That's zero-use plastic!"" she replied. Moravati undertoo"
19,Article 19,"k a one-woman campaign to persuade delivery services like Uber Eats and Postmates to make those utensils optional. ""Uber Eats and Postm"
20,Article 20,"ates now have a checkbox that says, 'If you would like plastic cutlery, click here.'"" 2020 was also an astonishing year for space. NASA"
21,Article 21,"launched its most advanced rover yet to Mars; landed a spacecraft on an asteroid; and, for the first time since the Space Shuttle retir"
22,Article 22,"ed in 2011, flew American astronauts to the International Space Station on an American spacecraft made by SpaceX - twice."
23,Article 23,"spacex-space-staiton-docking-111620.jpg The SpaceX Crew Dragon capsule, moments after docking at the International Space Station, Novem"
24,Article 24,"ber 16, 2020. NASA Finally, 2020 ended with the best piece of news science could possibly have offered us: Vaccines for the disease tha"
25,Article 25,"t ruined the year in the first place. Pogue asked, ""Vaccines typically take years to develop – I mean, five, ten years. How was it poss"
26,Article 26,"ible that this one was developed so fast?"" ""This was really born of a great deal of cooperation between academics, industry and governm"
27,Article 27,"ent,"" said Pfizer's head of vaccine development Bill Gruber, ""to essentially recognize this as the highest priority. One key element is"
28,Article 28,"that, as opposed to work typically being done in sequence, a great deal of work has been done in parallel."" The vaccines hold the promi"
29,Article 29,"se that this time next year, good news will be a lot easier to find.  At least that's what Pogue's dad thinks. David asked, ""Do you hav"
30,Article 30,"e any broader thoughts about the year 2020?"" ""I'll be glad when 2020's gone,"" Dick replied. ""This was a bad year. But next year has got"
31,Article 31,"to be better, much better!"" MoneyWatch Google's top trending search queries for 2020 highlight one of the strangest years of all time"
32,Article 32,"moneywatch By Dan Patterson Updated on: December 9, 2020 / 3:10 PM EST / MoneyWatch The COVID-19 pandemic, protests, wildfires and a hi"
33,Article 33,"gh-stakes presidential election: 2020 was one chaotic year, and a surge of people turned to Google for answers. Now the search giant ha"
34,Article 34,"s released the Year in Search, its annual snapshot of the year's most important search terms, news stories, entertainers and politician"
35,Article 35,"s. To create the annual list Google aggregates trillions — yes, trillions — of queries over the course of the year, filters out junk da"
