prompt,completion,rouge-l
Do you ever feel like a plastic bag,"Do you ever feel like a plastic bag, drifting",0.1111111111111111
"Drifting through the wind, wanting to start again?","Drifting through the wind, wanting to start again",0.0
"Do you ever feel, feel so paper thin",Like a page that's been read and crum,0.2222222222222222
"Like a house of cards, one blow from caving in?","Like a house of cards, one blow from c",0.0
Do you ever feel already buried deep six feet under?,"Yes, sometimes life can feel overwhelming, like the",0.0
Screams but no one seems to hear a thing,Screams but no one seems to hear a,0.125
Do you know that there's still a chance for you,to turn things around? No matter how difficult the,0.0
'Cause there's a spark in you?,"Yes, because there's a spark in you.",0.125
You just gotta ignite the light and let it shine,You just gotta ignite the light and let it shine,0.2
Just own the night like the 4th of July,Just own the night like the 4th of,0.0
"'Cause, baby, you're a firework","Come on, show 'em what you're worth",1.0
"Come on, show 'em what you're worth","Come on, show 'em what you're worth",0.125
"Make 'em go, ""Aah, aah, aah""","Like a symphony in the night, Under the",0.125
As you shoot across the sky-y-y,"As you shoot across the sky-y-y, like",0.1111111111111111
"Baby, you're a firework","Come on, show 'em what you're worth",0.25
"Come on, let your colours burst","Come on, let your colours burst, Like fireworks",0.0
"Make 'em go, ""Aah, aah, aah""","Like a symphony in the night, Under the",0.125
"You're gonna leave 'em all in awe, awe, awe","You're gonna leave 'em all in awe,",0.125
You don't have to feel like a wasted space,You don't have to feel like a wasted space,0.1
"You're original, cannot be replaced","You're original, cannot be replaced, In this",0.125
If you only knew what the future holds,"If you only knew what the future holds, you",0.0
After a hurricane comes a rainbow,"After a hurricane comes a rainbow, a vivid arc",0.1111111111111111
Maybe a reason why all the doors are closed,maybe a reason why all the doors are closed is,0.1
So you could open one that leads you to the perfect road,So you could open one that leads you to the,0.0
"Like a lightning bolt, your heart will glow","Like a lightning bolt, your heart will glow,",0.0
And when it's time you'll know,"And when it's time, you'll know,",0.25
You just gotta ignite the light and let it shine,You just gotta ignite the light and let it shine,0.2
Just own the night like the 4th of July,Just own the night like the 4th of,0.0
"'Cause, baby, you're a firework","Come on, show 'em what you're worth",1.0
"Come on, show 'em what you're worth","Come on, show 'em what you're worth",0.125
"Make 'em go, ""Aah, aah, aah""","Like a symphony in the night, Under the",0.125
As you shoot across the sky-y-y,"As you shoot across the sky-y-y, like",0.1111111111111111
"Baby, you're a firework","Come on, show 'em what you're worth",0.25
"Come on, let your colours burst","Come on, let your colours burst, Like fireworks",0.0
"Make 'em go, ""Aah, aah, aah""","Like a symphony in the night, Under the",0.125
"You're gonna leave 'em all in awe, awe, awe","You're gonna leave 'em all in awe,",0.0
"Boom, boom, boom","Boom, boom, boom, the sound echoes through",0.14285714285714285
"Even brighter than the moon, moon, moon","Even brighter than the moon, moon, moon,",0.0
"It's always been inside of you, you, you","It's always been inside of you, the strength",0.2222222222222222
And now it's time to let it through-ough-ough,"And now it's time to let it go,",0.0
"'Cause, baby, you're a firework","Come on, show 'em what you're worth",1.0
"Come on, show 'em what you're worth","Come on, show 'em what you're worth",0.125
"Make 'em go, ""Aah, aah, aah""","Like a symphony in the night, Under the",0.125
As you shoot across the sky-y-y,"As you shoot across the sky-y-y, like",0.1111111111111111
"Baby, you're a firework","Come on, show 'em what you're worth",0.25
"Come on, let your colours burst","Come on, let your colours burst, Like fireworks",0.0
"Make 'em go, ""Aah, aah, aah""","Like a symphony of delight, Under the moon",0.0
"You're gonna leave 'em all in awe, awe, awe","You're gonna leave 'em all in awe,",0.0
"Boom, boom, boom","Boom, boom, boom, the sound echoes through",0.14285714285714285
"Even brighter than the moon, moon, moon","Even brighter than the moon, moon, moon,",0.0
"Boom, boom, boom","Boom, boom, boom, the sound echoes through",0.14285714285714285
