prompt,completion,rouge-l
The club isn't the best place to find a lover,So the bar is where I go.,1.0
So the bar is where I go,to relax and unwind after a long day at work,0.2
Me and my friends at the table doing shots,and laughing uncontrollably.,0.3333333333333333
Drinking faster and then we talk slow,", letting the alcohol take control.",0.0
You come over and start up a conversation with just me,", and I can't help but feel a spark",0.3333333333333333
And trust me I'll give it a chance now,", because I believe in second chances and the possibility",0.1111111111111111
"Take my hand, stop, Put Van The Man on the jukebox",and let's dance the night away to his soul,0.2
"And then we start to dance, and now I'm singing like","never before, lost in the music and feeling alive",0.0
"Girl, you know I want your love",and I'll do anything to prove it to you,0.0
Your love was handmade for somebody like me,.,0
"Come on now, follow my lead",and let's dance the night away.,0.0
"I may be crazy, don't mind me, say",maybe.,0.0
"Boy, let's not talk too much",and just enjoy the moment.,0.2
Grab on my waist and put that body on me,", let's dance the night away.",0.0
"Come on now, follow my lead",and let's dance the night away.,0.0
"Come—come on now, follow my lead",and we'll make our way through this together.,0.0
I'm in love with the shape of you,.,0
We push and pull like a magnet do,.,0
Although my heart is falling too,I know that I will always have the strength to,0.1
I'm in love with your body,and everything about you.,0.5
And last night you were in my room,", whispering sweet nothings in my ear.",0.16666666666666666
And now my bedsheets smell like you,", reminding me of the warmth and comfort you brought",0.0
Every day discovering something brand new,is an exciting and enriching experience that keeps life,0.0
I'm in love with your body,and everything about you.,0.0
Oh—i—oh—i—oh—i—oh—i,can't stop dancing to this beat!,0.0
Oh—i—oh—i—oh—i—oh—i,"like to move it, move it!",0.0
I'm in love with your body,and everything about you.,0.0
Oh—i—oh—i—oh—i—oh—i,can't stop dancing to this catchy beat!,0.0
Oh—i—oh—i—oh—i—oh—i,can't stop dancing to this catchy beat!,0.0
I'm in love with your body,and everything about you.,0.0
Oh—i—oh—i—oh—i—oh—i,"like to move it, move it!",0.0
Oh—i—oh—i—oh—i—oh—i,can't stop singing this catchy tune!,0.0
I'm in love with your body,and everything about you.,0.0
Every day discovering something brand new,is an exciting and enriching experience that keeps life,0.0
I'm in love with the shape of you,.,0
One week in we let the story begin,", and from there, we were swept away on",0.25
We're going out on our first date,and I'm so excited to spend time getting to,0.2
But you and me are thrifty so go all you can eat,at the buffet and make the most of our money,0.1
Fill up your bag and I fill up a plate,of delicious food for us to enjoy together.,0.125
We talk for hours and hours about the sweet and the sour,"moments in our lives, sharing stories and memories that",0.1111111111111111
And how your family is doin' okay,", I hope everything is going well with them.",0.0
"And leave and get in a taxi, we kiss in the backseat",as the city lights blur past us.,0.14285714285714285
"Tell the driver make the radio play, and I'm singing like",a rockstar on the highway.,0.0
"Girl, you know I want your love",and I'll do anything to prove it to you,0.0
Your love was handmade for somebody like me,.,0
"Come on now, follow my lead",and let's dance the night away.,0.0
"I may be crazy, don't mind me, say",I'm just living my truth.,0.0
"Boy, let's not talk too much",and just enjoy the moment.,0.2
Grab on my waist and put that body on me,", let's dance the night away.",0.0
"Come on now, follow my lead",and let's dance the night away.,0.0
"Come—come on now, follow my lead",and we'll dance the night away.,0.14285714285714285
I'm in love with the shape of you,.,0
We push and pull like a magnet do,.,0
Although my heart is falling too,I know that I will always have the strength to,0.1
I'm in love with your body,and everything about you.,0.5
And last night you were in my room,", whispering sweet nothings in my ear.",0.16666666666666666
And now my bedsheets smell like you,", reminding me of the warmth and comfort you brought",0.0
Every day discovering something brand new,is an exciting and enriching experience that keeps life,0.0
I'm in love with your body,and everything about you.,0.0
Oh—i—oh—i—oh—i—oh—i,can't stop dancing to this catchy beat!,0.0
Oh—i—oh—i—oh—i—oh—i,"like to move it, move it!",0.0
I'm in love with your body,and everything about you.,0.0
Oh—i—oh—i—oh—i—oh—i,can't stop dancing to this beat!,0.0
Oh—i—oh—i—oh—i—oh—i,"like to move it, move it!",0.0
I'm in love with your body,and everything about you.,0.0
Oh—i—oh—i—oh—i—oh—i,can't stop dancing to this catchy beat!,0.0
Oh—i—oh—i—oh—i—oh—i,"like to move it, move it!",0.0
Every day discovering something brand new,is an exciting and enriching experience that keeps life,0.0
I'm in love with the shape of you,.,0
"Come on, be my baby, come on",and let me show you how much I care for,0.0
"Come on, be my baby, come on",and let me show you how much I care for,0.0
"Come on, be my baby, come on",and let me show you how much I care for,0.0
"Come on, be my baby, come on",and let me show you how much I care for,0.0
"Come on, be my baby, come on",and let me show you how much I care for,0.0
"Come on, be my baby, come on",and let me show you how much I care for,0.0
"Come on, be my baby, come on",and let me show you how much I care for,0.0
"Come on, be my baby, come on",and let me show you how much I care for,0.1
I'm in love with the shape of you,and the way you move.,0.2
We push and pull like a magnet too,strong to resist.,0.0
Although my heart is falling too,I know that I will always have the strength to,0.1
I'm in love with your body,and everything about you.,0.5
And last night you were in my room,", whispering sweet nothings in my ear.",0.16666666666666666
And now my bedsheets smell like you,", reminding me of the warmth and comfort you brought",0.0
Every day discovering something brand new,is an exciting and enriching experience that keeps life,0.0
I'm in love with your body,and everything about you.,0.0
"Come on, be my baby, come on",and let me show you how much I care for,0.0
"Come on, be my baby, come on",and let me show you how much I care.,0.1111111111111111
I'm in love with your body,and everything about you.,0.0
"Come on, be my baby, come on",and let me show you how much I care for,0.0
"Come on, be my baby, come on",and let me show you how much I care.,0.1111111111111111
I'm in love with your body,and everything about you.,0.0
"Come on, be my baby, come on",and let me show you how much I care for,0.0
"Come on, be my baby, come on",and let me show you how much I care for,0.1
I'm in love with your body,and everything about you.,0.0
Every day discovering something brand new,is an exciting and enriching experience that keeps life,0.0
