prompt,completion,rouge-l
Do you ever feel like a plastic bag,?” “I’m a little bit{},0.0
"Drifting through the wind, wanting to start again?",I'm not sure if I'm{},0.0
"Do you ever feel, feel so paper thin","? Like a house of cards, one blow from{}",1.0
"Like a house of cards, one blow from caving in?",I'm not sure what you mean by{},0.125
Do you ever feel already buried deep six feet under?,You do it to yourself you do and that{},0.1111111111111111
Screams but no one seems to hear a thing,. I'm not sure what I'{},0.0
Do you know that there's still a chance for you,to get your ex lover back in your life with{},0.1
'Cause there's a spark in you?,You just gotta ignite the light and let{},1.0
You just gotta ignite the light and let it shine,. Just own the night like the Fourth of{},0.875
Just own the night like the 4th of July,‘Cause baby you’re a firework{},1.0
"'Cause, baby, you're a firework","Come on, let your colors burst Make{}",0.2857142857142857
"Come on, show 'em what you're worth","!"" ""I'm not going to{}",0.2
"Make 'em go, ""Aah, aah, aah""","Make 'em go, ""Aah,{}",0.0
As you shoot across the sky-y-y,And every one of them words Means{},0.0
"Baby, you're a firework",. You're gonna leave 'em all{},0.0
"Come on, let your colours burst","Come on, come on, come on {}",0.0
"Make 'em go, ""Aah, aah, aah""","Make 'em go, ""Aah,{}",0.25
"You're gonna leave 'em all in awe, awe, awe",", awe, awe, awe, awe, awe{}",0.0
You don't have to feel like a wasted space,"You're original, cannot be replaced {}",1.0
"You're original, cannot be replaced",If you only knew what the future holds {},1.0
If you only knew what the future holds,", you’d be more present. If{}",0.0
After a hurricane comes a rainbow,. After a storm comes a calm. {},0.16666666666666666
Maybe a reason why all the doors are closed,. I'm not sure if I'{},0.0
So you could open one that leads you to the perfect road,"trip, or one that leads you to the perfect{}",0.0
"Like a lightning bolt, your heart will glow",. You'll feel it in your toes{},0.2857142857142857
And when it's time you'll know,", You'll know. And when{}",0.4
You just gotta ignite the light and let it shine,. Just own the night like the Fourth of{},0.875
Just own the night like the 4th of July,‘Cause baby you’re a firework{},1.0
"'Cause, baby, you're a firework","Come on, let your colors burst Make{}",0.2857142857142857
"Come on, show 'em what you're worth","!"" ""I'm not going to{}",0.2
"Make 'em go, ""Aah, aah, aah""","Make 'em go, ""Aah,{}",0.0
As you shoot across the sky-y-y,And every one of them words Means{},0.0
"Baby, you're a firework","Come on, let your colors burst Make{}",0.7142857142857143
"Come on, let your colours burst",. You’ve got to let go of{},0.14285714285714285
"Make 'em go, ""Aah, aah, aah""","Make 'em go, ""Aah,{}",0.25
"You're gonna leave 'em all in awe, awe, awe",", awe, awe, awe, awe, awe{}",0.0
"Boom, boom, boom",", boom, boom, boom, boom, boom{}",0.0
"Even brighter than the moon, moon, moon",", moon, moon, moon, moon, moon{}",0.0
"It's always been inside of you, you, you",", you, you, you, you, you{}",0.0
And now it's time to let it through-ough-ough,-ough-ough-ough-ough-ough{},0.0
"'Cause, baby, you're a firework","Come on, let your colors burst Make{}",0.2857142857142857
"Come on, show 'em what you're worth",! I'm not sure what you'{},0.0
"Make 'em go, ""Aah, aah, aah""","Make 'em go, ""Aah,{}",0.0
As you shoot across the sky-y-y,And every one of them words Means{},0.0
"Baby, you're a firework",. You're gonna leave 'em all{},0.0
"Come on, let your colours burst","Come on, come on, come on {}",0.0
"Make 'em go, ""Aah, aah, aah""","Make 'em go, ""Aah,{}",0.25
"You're gonna leave 'em all in awe, awe, awe",", awe, awe, awe, awe, awe{}",0.0
"Boom, boom, boom",", boom, boom, boom, boom, boom{}",0.0
"Even brighter than the moon, moon, moon",", moon, moon, moon, moon, moon{}",0.0
"Boom, boom, boom",", boom, boom, boom, boom, boom{}",0.0
