prompt,completion,rouge-l
There's a fire starting in my heart,I'm sorry to hear that you're feeling this,0.0
Reaching a fever pitch and it's bringing me out the dark,I can't help but feel a sense of panic,0.2
Finally I can see you crystal clear,I'm glad to hear that! Seeing you in,0.1111111111111111
Go ahead and sell me out and I'll lay your ship bare,"I'm sorry, but as an AI language model",0.1111111111111111
See how I leave with every piece of you,"I'll be back to see you, just as",0.1111111111111111
Don't underestimate the things that I will do,to achieve my goals and make a difference in the,0.2
There's a fire starting in my heart,I'm sorry to hear that you're feeling this,0.0
Reaching a fever pitch,and the audience's hearts were pounding with anticipation as,0.2
And it's bringing me out the dark,It is also making me feel more awake and alert,0.1
The scars of your love remind me of us,"I'm sorry, but I can't continue the",0.0
They keep me thinking that we almost had it all,"until the last minute, and I'm still not",0.1111111111111111
"The scars of your love, they leave me breathless",As I gazed at the scar on my chest,0.1111111111111111
I can't help feeling,that this is the most challenging time for many people,0.0
We could have had it all,but for the unforeseen circumstances that brought us to,0.0
(You're gonna wish you never had met me),"""你可能会后悔没有遇见我，因为我知道",0
Rolling in the deep,"of snow, the trees seemed to reach out their",0.1111111111111111
"(Tears are gonna fall, rolling in the deep)","As the tears roll down my face, I know",0.1111111111111111
You had my heart inside of your hand,"But fate had other plans, and I found myself",0.1111111111111111
(You're gonna wish you never had met me),"""你可能会后悔没有遇见我，因为我知道",0
"And you played it, to the beat","of the drum, and you danced with joy as",0.1111111111111111
"(Tears are gonna fall, rolling in the deep)","As the tears roll down my face, I know",0.1111111111111111
"Baby, I have no story to be told","I'm sorry, but as an AI language model",0.1111111111111111
But I've heard one on you,that you're not the only one who's been,0.0
And I'm gonna make your head burn,I'll be sure to heat up your brain for,0.1
Think of me in the depths of your despair,"I am here, always ready to listen and offer",0.0
Make a home down there,"It's not just about the physical space, but",0.0
As mine sure won't be shared,"with anyone else, but I will keep it to",0.0
(You're gonna wish you never had met me),"""你可能会后悔没有遇见我，因为我知道",0
The scars of your love remind me of us,"I'm sorry, but I can't continue the",0.1111111111111111
"(Tears are gonna fall, rolling in the deep)","As the tears roll down my face, I know",0.0
They keep me thinking that we almost had it all,"until the last minute, and I'm still not",0.0
(You're gonna wish you never had met me),"""你可能会后悔没有遇见我，因为我知道",0
"The scars of your love, they leave me breathless",As I gazed at the scar on my chest,0.1111111111111111
"(Tears are gonna fall, rolling in the deep)","As the tears roll down my face, I know",0.1111111111111111
I can't help feeling,that this is the most challenging time for many people,0.0
We could have had it all,but for the unforeseen circumstances that brought us to,0.0
(You're gonna wish you never had met me),"""你可能会后悔没有遇见我，因为我知道",0
Rolling in the deep,"of snow, the trees seemed to reach out their",0.1111111111111111
"(Tears are gonna fall, rolling in the deep)","As the tears roll down my face, I know",0.1111111111111111
You had my heart inside of your hand,"But fate had other plans, and I found myself",0.1111111111111111
(You're gonna wish you never had met me),"""你可能会后悔没有遇见我，因为我知道",0
"And you played it, to the beat","of the drum, and you danced with joy as",0.1111111111111111
"(Tears are gonna fall, rolling in the deep)","As the tears roll down my face, I know",0.0
We could have had it all,but for the unforeseen circumstances that brought us to,0.1111111111111111
Rolling in the deep,"of snow, the trees seemed to reach out their",0.1111111111111111
You had my heart inside of your hand,"But fate had other plans, and I found myself",0.1111111111111111
"But you played it, with a beating","and a roar that echoed through the room, and",0.1111111111111111
Throw your soul through every open door (woah),and let it soar into the vast expanse of,0.0
Count your blessings to find what you look for (woah),"Wow, that sounds like a powerful and inspiring phrase",0.0
Turn my sorrow into treasured gold (woah),"And let it be, a precious gem that will",0.1111111111111111
You'll pay me back in kind and reap just what you sow(woah),"It's not just about paying back, it's",0.0
(You're gonna wish you never had met me),"""你可能会后悔没有遇见我，因为我知道",0
We could have had it all,but for the unforeseen circumstances that brought us to,0.1111111111111111
"(Tears are gonna fall, rolling in the deep)","As the tears roll down my face, I know",0.0
We could have had it all,but for the unforeseen circumstances that brought us to,0.0
(You're gonna wish you never had met me),"""你可能会后悔没有遇见我，因为我知道",0
"It all, it all, it all","was just one big, overwhelming mess that had overwhelmed",0.0
"(Tears are gonna fall, rolling in the deep)","As the tears roll down my face, I know",0.0
We could have had it all,but for the unforeseen circumstances that brought us to,0.0
(You're gonna wish you never had met me),"""你可能会后悔没有遇见我，因为我知道",0
Rolling in the deep,"of snow, the trees seemed to reach out their",0.1111111111111111
"(Tears are gonna fall, rolling in the deep)","As the tears roll down my face, I know",0.1111111111111111
You had my heart inside of your hand,"But fate had other plans, and I found myself",0.1111111111111111
(You're gonna wish you never had met me),"""你可能会后悔没有遇见我，因为我知道",0
And you played it to the beat,"of the drum, and the rhythm was just right",0.1111111111111111
"(Tears are gonna fall, rolling in the deep)","As the tears roll down my cheeks, I know",0.0
We could have had it all,"but for the unforeseen events that occurred, we",0.0
(You're gonna wish you never had met me),"""你可能会后悔没有遇见我，因为我知道",0
Rolling in the deep,"of snow, the trees seemed to reach out their",0.1111111111111111
"(Tears are gonna fall, rolling in the deep)","As the tears roll down my cheeks, I know",0.1111111111111111
You had my heart inside of your hand,"But fate had other plans, and I found myself",0.1111111111111111
(You're gonna wish you never had met me),"""你可能会后悔没有遇见我，因为我知道",0
But you played it,"for a long time, and I was left wondering",0.0
You played it,"very well, and I'm sure you'll do",0.1111111111111111
You played it,"very well, and I'm sure you'll do",0.1111111111111111
