prompt,completion,rouge-l
There's a fire starting in my heart,"Reaching a fever pitch, and it's bringing",1.0
Reaching a fever pitch and it's bringing me out the dark,Finally I can see you crystal clear,1.0
Finally I can see you crystal clear,", go ahead and sell me out and I'll",1.0
Go ahead and sell me out and I'll lay your ship bare,"This line is from the song ""Skyfall""",0.0
See how I leave with every piece of you,"""Don't underestimate the things that I will do.""",1.0
Don't underestimate the things that I will do,to achieve my goals and make a positive impact.,0.1111111111111111
There's a fire starting in my heart,"Reaching a fever pitch, and it's bringing",0.5
Reaching a fever pitch,and it's bringing me out the dark.,1.0
And it's bringing me out the dark,"The sentence ""And it's bringing me out the",0.2222222222222222
The scars of your love remind me of us,"The scars of your love remind me of us,",0.1111111111111111
They keep me thinking that we almost had it all,when we were dancing on the edge of something beautiful,0.2
"The scars of your love, they leave me breathless","I can't help feeling, we could have had",0.5555555555555556
I can't help feeling,I can't help feeling optimistic about the future despite,0.0
We could have had it all,rolling in the deep.,0.0
(You're gonna wish you never had met me),"Tears are gonna fall, rolling in the deep",0.5
Rolling in the deep,is a song by Adele that explores themes of,0.0
"(Tears are gonna fall, rolling in the deep)","Sorry, but I can't continue the lyrics from",0.0
You had my heart inside of your hand,and you played it to the beat.,0.14285714285714285
(You're gonna wish you never had met me),"Tears are gonna fall, rolling in the deep",0.125
"And you played it, to the beat","of your own drum, dancing to the rhythm that",0.1111111111111111
"(Tears are gonna fall, rolling in the deep)","Sorry, but I can't continue the lyrics from",0.1111111111111111
"Baby, I have no story to be told",but I've heard one on you and I'm,0.7
But I've heard one on you,But I've heard one on you that says you,0.1
And I'm gonna make your head burn,"Sorry, but I can't continue the lyrics from",0.1111111111111111
Think of me in the depths of your despair,and remember that I am always there to offer support,0.1
Make a home down there,"among the whispering pines, where tranquility",0.0
As mine sure won't be shared,", I'll keep my thoughts to myself.",0.0
(You're gonna wish you never had met me),"Tears are gonna fall, rolling in the deep",0.125
The scars of your love remind me of us,—they keep me thinking that we almost had it all,0.0
"(Tears are gonna fall, rolling in the deep)","Sorry, but I can't continue the lyrics from",0.0
They keep me thinking that we almost had it all,"when I remember the laughter and the tears, the",0.0
(You're gonna wish you never had met me),"Tears are gonna fall, rolling in the deep",0.125
"The scars of your love, they leave me breathless","I can't help feeling, we could have had",0.0
"(Tears are gonna fall, rolling in the deep)","Sorry, but I can't continue the lyrics from",0.3333333333333333
I can't help feeling,nostalgic whenever I hear songs from the,0.0
We could have had it all,rolling in the deep.,0.0
(You're gonna wish you never had met me),"Tears are gonna fall, rolling in the deep",0.5
Rolling in the deep,is a song by Adele that explores themes of,0.0
"(Tears are gonna fall, rolling in the deep)","Sorry, but I can't continue the lyrics from",0.0
You had my heart inside of your hand,and you played it to the beat.,0.14285714285714285
(You're gonna wish you never had met me),"Tears are gonna fall, rolling in the deep",0.125
"And you played it, to the beat","of your own drum, dancing to the rhythm that",0.1111111111111111
"(Tears are gonna fall, rolling in the deep)","Sorry, but I can't continue the lyrics from",0.0
We could have had it all,rolling in the deep.,1.0
Rolling in the deep,is a song by Adele that explores themes of,0.1111111111111111
You had my heart inside of your hand,and you played it to the beat.,0.5714285714285714
"But you played it, with a beating","heart, and I was left listening to the echoes",0.0
Throw your soul through every open door (woah),Count your blessings to find what you look for (,1.0
Count your blessings to find what you look for (woah),"in the silver lining of every cloud, as every",0.0
Turn my sorrow into treasured gold (woah),You'll pay me back in kind and reap just,1.0
You'll pay me back in kind and reap just what you sow(woah),"Sorry, but I can't continue the lyrics from",0.0
(You're gonna wish you never had met me),"Tears are gonna fall, rolling in the deep",0.0
We could have had it all,rolling in the deep.,1.0
"(Tears are gonna fall, rolling in the deep)","Sorry, but I can't continue the lyrics from",0.0
We could have had it all,rolling in the deep.,0.0
(You're gonna wish you never had met me),"Tears are gonna fall, rolling in the deep",0.0
"It all, it all, it all","It all, it all, it all comes together",0.0
"(Tears are gonna fall, rolling in the deep)","Sorry, but I can't continue the lyrics from",0.0
We could have had it all,rolling in the deep.,0.0
(You're gonna wish you never had met me),"Tears are gonna fall, rolling in the deep",0.5
Rolling in the deep,is a song by Adele that explores themes of,0.0
"(Tears are gonna fall, rolling in the deep)","Sorry, but I can't continue the lyrics from",0.0
You had my heart inside of your hand,and you played it to the beat.,0.14285714285714285
(You're gonna wish you never had met me),"Tears are gonna fall, rolling in the deep",0.125
And you played it to the beat,"And you played it to the beat, dancing effortlessly",0.1111111111111111
"(Tears are gonna fall, rolling in the deep)","Sorry, but I can't continue the lyrics from",0.0
We could have had it all,rolling in the deep.,0.0
(You're gonna wish you never had met me),"Tears are gonna fall, rolling in the deep",0.5
Rolling in the deep,is a song by Adele that explores themes of,0.0
"(Tears are gonna fall, rolling in the deep)","Sorry, but I can't continue the lyrics from",0.0
You had my heart inside of your hand,and you played it to the beat.,0.14285714285714285
(You're gonna wish you never had met me),"Tears are gonna fall, rolling in the deep",0.0
But you played it,"But you played it with skill and grace, turning",0.3333333333333333
You played it,You played it smart by planning ahead.,0.42857142857142855
You played it,You played it smart by planning ahead.,0.42857142857142855
